subject,context,objective_number,objective
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,11,examine the situation in a drama performance; CXC
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,12,examine how writers use elements of literature to develop themes and ideas
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,13,examine the links among the elements of literature and how they function to achieve the writer’s purpose; CXC
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,14,use appropriate literary jargon to respond to literary works
English,SECTION 2.2: ANALYSING — LITERARY DISCOURSE,15,explore a variety of socio-historical contexts in literary works.
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,1,create suitable paragraphs to convey meaning with clarity and with facility; CXC
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,2,"analyse implicit themes in novels, short stories, poems and plays"
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,3,"interpret the different uses of tone, mood, register, code and style in literary forms in relation to the author’s intention; CXC"
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,4,"evaluate the writer’s choice of poetic, narrative and dramatic elements and techniques to create meaning"
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,5,analyse how various contexts influence literature
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,6,create a variety of personal responses to literary texts; CXC
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,7,relate issues and ideas in literary texts to their personal lives
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,8,collaborate with peers to produce creative responses to literary works
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,9,"explain how attitudes, mood and setting influence the actions and interaction of actors in the performance of a play"
English,SECTION 2.3: EVALUATING AND CREATING — LITERARY DISCOURSE,10,organise ideas to communicate emotions and imaginative interpretations of experience. CXC
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,1,"explain meaning conveyed through word choice and grammar, punctuation and paragraphing; CXC"
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,2,"identify effective use of parts of speech word combinations, unusual turn of a phrase; CXC"
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,3,"identify facts and opinions, stated explicitly"
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,4,extract implied information; CXC
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,5,identify stated or implied time sequence
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,6,"extract specific information from what is read, heard or viewed"
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,7,detect connotations in the use of words and in the presentation of ideas; CXC
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,8,identify the range of devices and techniques of persuasion employed in social discourse and by the mass media
English,SECTION 3.1: UNDERSTANDING — PERSUASIVE DISCOURSE,9,identify a range of devices and techniques used to produce a persuasive essay.
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,1,"use appropriate diction, grammatical forms and suitable punctuation and paragraphing to convey meaning with clarity and with facility; CXC"
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,2,use punctuation accurately to convey meaning with clarity and with facility; CXC
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,3,draw valid conclusions and inferences from information presented
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,4,trace the development of main and subordinate ideas
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,5,distinguish factual statements from opinions expressed in various forms; CXC
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,6,"interpret tables and pictorial communication, such as diagrams, conventional signs and symbols"
English,SECTION 3.2: ANALYSING — PERSUASIVE DISCOURSE,7,"explain the effectiveness of language devices used in written, visual and oral forms to persuade."
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,1,create suitable paragraphs to convey meaning with clarity and with facility; CXC
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,2,"communicate reasoned evaluative comments on proposals and situations of various kinds, in language that is clear and appropriate to the occasion"
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,3,"create persuasive oral, visual and written works to effect emotional responses from the audience; CXC"
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,4,present a logical argument using suitable techniques
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,5,formulate an informed position on topical issues
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,6,"compare ideas and themes as presented in different oral, written and visual works"
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,7,evaluate the use of connotative language to persuade an audience
English,SECTION 3.3: EVALUATING AND CREATING — PERSUASIVE DISCOURSE,8,"assess the effects of persuasive devices and techniques used in written, oral and visual works. CXC  PRESCRIBED TEXTS TEXTS PRESCRIBED FOR TEXT DRAMA Four Type A Questions Twelfth Night Anansi POETRY Two Type B Questions Selections from A World (New Edition) POEMS PRESCRIBED FOR TEXT An African Thunderstorm Once Upon a Time Little Boy Crying West Indies, U.S.A. Sonnet Composed Upon Birdshooting Season The Woman Speaks to Employed Her Son It is the Constant Image A Lesson for this Sunday A Stone’s Throw Test Match Sabina Park My Parents Landscape Painter, Jamaica Dulce et Decorum Est This is the dark time, my Ol’Higue Mirror South Death be Not Proud Dreaming Black Boy PROSE FICTION Novel – Four Type A questions For the Life of Laetitia CXC OTHER LITERATURE IN Animal Farm SHORT STORY – TWO Selections from a World (New Edition) SHORT STORIES PRESCRIBED TEXT Raymond’s Run Blood Brothers The Man of the House Georgia and Them There The Two Grandmothers Berry Mom Luby and the Social To Da-duh, in Memoriam What Happened? Mint Tea TEXTS PRESCRIBED FOR TEXT DRAMA Two Questions will be Macbeth Highway in the Sun (All POETRY Two Questions will be Selections from A World (Third Edition) POEMS PRESCRIBED FOR Two type B Questions TEXT A Grandfather Sings A Quartet of Daffodils A Song in the Front Yard A Stone’s Throw Attention CXC"
